Car Make,Car Model,Price,Fuel Type,Transmission Type,Available Color Variants Count,Available Colors (Detailed),Location Details
Tata,Harrier Pure Plus S AT,₹22.79 L,Diesel,Automatic,Available in 2 colors,Ash Grey (#b7bec4); Lunar White (#f3f3f5),N/A
Tata,Harrier Pure Plus S Dark Edition AT,₹22.96 L,Diesel,Automatic,Available in 1 colors,Oberon Black (#18191e),N/A
Tata,Harrier Adventure Plus,₹24.17 L,Diesel,Manual,Available in 4 colors,Coral Red (#aa1b17); Lunar White (#f3f3f5); Pebble Grey (#55545a); Seaweed Green (#2a2f19),N/A
Tata,Harrier Adventure Plus Dark Edition,₹24.75 L,Diesel,Manual,Available in 1 colors,Oberon Black (#18191e),N/A
Tata,Harrier Adventure Plus A,₹25.32 L,Diesel,Manual,Available in 4 colors,Coral Red (#aa1b17); Lunar White (#f3f3f5); Pebble Grey (#55545a); Seaweed Green (#2a2f19),N/A
Tata,Harrier Adventure Plus AT,₹25.79 L,Diesel,Automatic,Available in 4 colors,Coral Red (#aa1b17); Lunar White (#f3f3f5); Pebble Grey (#55545a); Seaweed Green (#2a2f19),N/A
Tata,Harrier Adventure Plus Dark Edition AT,₹26.36 L,Diesel,Automatic,Available in 1 colors,Oberon Black (#18191e),N/A
Tata,Harrier Fearless,₹26.50 L,Diesel,Manual,Available in 4 colors,"Coral Red With Black Roof (#aa1b17, #000000); Lunar White With Black Roof (#f3f3f5, #000000); Pebble Grey With Black Roof (#55545a, #000000); Sunlit Yellow With Black Roof (#b6ad22, #000000)",N/A
Tata,Harrier Adventure Plus A AT,₹26.94 L,Diesel,Automatic,Available in 4 colors,Coral Red (#aa1b17); Lunar White (#f3f3f5); Pebble Grey (#55545a); Seaweed Green (#2a2f19),N/A
Tata,Harrier Fearless Dark Edition,₹27.07 L,Diesel,Manual,Available in 1 colors,Oberon Black (#18191e),N/A
Tata,Harrier Fearless AT,₹28.11 L,Diesel,Automatic,Available in 4 colors,"Coral Red With Black Roof (#aa1b17, #000000); Lunar White With Black Roof (#f3f3f5, #000000); Pebble Grey With Black Roof (#55545a, #000000); Sunlit Yellow With Black Roof (#b6ad22, #000000)",N/A
Tata,Harrier Fearless Plus,₹28.22 L,Diesel,Manual,Available in 4 colors,"Coral Red With Black Roof (#aa1b17, #000000); Lunar White With Black Roof (#f3f3f5, #000000); Pebble Grey With Black Roof (#55545a, #000000); Sunlit Yellow With Black Roof (#b6ad22, #000000)",N/A
Tata,Harrier Fearless Dark Edition AT,₹28.69 L,Diesel,Automatic,Available in 1 colors,Oberon Black (#18191e),N/A
Tata,Harrier Fearless Plus Dark Edition,₹28.80 L,Diesel,Manual,Available in 1 colors,Oberon Black (#18191e),N/A
Tata,Harrier Fearless Plus Stealth Edition,₹29.09 L,Diesel,Manual,Available in 1 colors,Stealth Black (#15161a),N/A
Tata,Harrier Fearless Plus AT,₹29.84 L,Diesel,Automatic,Available in 4 colors,"Coral Red With Black Roof (#aa1b17, #000000); Lunar White With Black Roof (#f3f3f5, #000000); Pebble Grey With Black Roof (#55545a, #000000); Sunlit Yellow With Black Roof (#b6ad22, #000000)",N/A
Tata,Harrier Fearless Plus Dark Edition AT,₹30.41 L,Diesel,Automatic,Available in 1 colors,Oberon Black (#18191e),N/A
Tata,Punch EV Adventure LR 3.3,₹13.45 L,Electric,Automatic,Available in 4 colors,Pristine White (#f2f3f6); Fearless Red (#6f1a1c); Daytona Grey (#303232); Seaweed (#4f5634),N/A
Tata,Punch EV Adventure S LR 3.3,₹13.76 L,Electric,Automatic,Available in 4 colors,"Daytona Grey with Black Roof (#303232, #000000); Pristine White with Black Roof (#f2f3f6, #000000); Fearless Red with Black Roof (#6f1a1c, #000000); Seaweed with Black Roof (#4f5634, #000000)",N/A
Tata,Punch EV Smart 3.3,₹10.40 L,Electric,Automatic,Available in 1 colors,Pristine White (#f2f3f6),N/A
Tata,Punch EV Smart Plus 3.3,₹11.69 L,Electric,Automatic,Available in 1 colors,Pristine White (#f2f3f6),N/A
Tata,Punch EV Adventure 3.3,₹12.42 L,Electric,Automatic,Available in 4 colors,Pristine White (#f2f3f6); Fearless Red (#6f1a1c); Daytona Grey (#303232); Seaweed (#4f5634),N/A
Tata,Punch EV Adventure S 3.3,₹12.73 L,Electric,Automatic,Available in 4 colors,"Pristine White with Black Roof (#f2f3f6, #000000); Fearless Red with Black Roof (#6f1a1c, #000000); Daytona Grey with Black Roof (#303232, #000000); Seaweed with Black Roof (#4f5634, #000000)",N/A
